bid_type;campaign_id;campaign_name;started_at;finished_at;impressions;frequency;clicks;cpc;cpm;ctr;cr;cost;orders_qty;added_to_cart;orders_per_1k
Единая Ставка;26608530;Кампания от 29.06.2025;2025-06-29 20:17:33;2025-07-22 23:59:59;221105;0.97;6253;11.25;318.1;2.83;2.72;70333.77;170;822;2.417046605066101
Единая Ставка;19454680;Лонгслив / 🟢 АРК;2024-08-22 09:40:47;2024-10-30 22:41:43;1371558;0.98;31998;10.48;244.6;2.33;1.95;335486.89;625;647;1.8629640043460414
Единая Ставка;13104732;тест / видеорегистратор / 166840375 от 12.01.2024;2024-01-12 19:04:20;2024-01-18 23:59:59;11579;0.97;380;4.74;155.65;3.28;0.53;1802.34;2;2;1.1096685420065027
Ручная Ставка;32888533;315 Ручная от 13.01.2026;2026-01-13 15:17:57;2026-05-07 13:39:50;383180;0.95;20042;7.88;412.08;5.23;2.58;157904.34;518;2417;3.2804671486546852
Единая Ставка;29287677;Единая Полки Белая ДР от 09.10.2025;2025-10-09 16:31:44;2025-10-24 12:26:00;88153;0.98;1872;10.14;215.26;2.12;8.01;18976.57;150;327;7.904484319347491
Ручная Ставка;24255445;Аукц Синг Бел от 25.03.2025;2025-03-25 16:19:01;2025-09-27 23:59:59;1455319;0.94;86745;6.95;414.24;5.96;9.13;602859.91;7924;21871;13.144015497729812
Ручная Ставка;21022554;ПОИСК/ лонг;2024-10-31 09:03:18;2024-11-25 15:30:00;258972;0.98;6488;13.55;339.39;2.51;1.14;87895.0;74;440;0.8419136469651288
Ручная Ставка;19828289;Жилетка / 🟡 Поиск;2024-09-10 12:25:54;2024-10-01 23:59:59;90937;0.98;1972;21.11;457.75;2.17;3.55;41626.5;70;70;1.6816210827237457
Ручная Ставка;29689277;Ручн Белая ДР от 24.10.2025;2025-10-24 12:37:36;2026-01-28 23:59:59;527284;0.96;23357;10.36;459.11;4.43;8.96;242081.49;2093;5293;8.645848965982488
Ручная Ставка;25675975;Аук Синг Вырез Черный от 21.05.2025;2025-05-21 10:25:22;2025-05-28 23:59:59;57058;0.95;2868;6.83;343.16;5.03;2.75;19580.49;79;258;4.0346283468901945
Ручная Ставка;21810183;T04long_gray;2024-12-03 19:29:29;2024-12-09 23:59:59;6925;0.97;201;11.86;344.09;2.9;0.5;2382.89;1;15;0.4196584819274075
Ручная Ставка;30079808;Ручн Стойка Белая от 06.11.2025;2025-11-06 11:53:27;2026-05-07 13:39:50;897430;0.93;65059;7.6;551.22;7.25;6.96;494687.58;4526;12103;9.149208880481696
Ручная Ставка;27007965;Аук показы Стойка черн от 15.07.2025;2025-07-15 20:59:23;2025-10-16 08:23:34;258655;0.95;12852;9.24;459.28;4.97;5.32;118797.06;684;2060;5.757718246562667
Единая Ставка;24601324;АРК синг черный 07.04.2025;2025-04-07 19:15:45;2025-04-19 20:54:27;588443;0.95;33257;2.54;143.31;5.65;3.0;84333.02;998;4501;11.834036063216994
Ручная Ставка;21140617;ПОИСК/ Черная блузка;2024-11-05 14:02:00;2024-11-19 23:59:59;29989;0.96;1299;12.57;544.38;4.33;1.31;16325.45;17;117;1.0413189222961694
Единая Ставка;11477247;авто 703;2023-11-08 13:42:17;2023-11-19 23:59:59;30390;0.96;1127;5.06;187.61;3.71;1.33;5701.62;15;175;2.630831237437781
Единая Ставка;10870761;видеорегистратор зеркало АРК карточка;2023-10-17 07:57:26;2023-10-26 23:59:59;19621;0.97;699;4.3;153.28;3.56;1.29;3007.61;9;9;2.992409255189336
Единая Ставка;27528724;Кампания от 05.08.2025;2025-08-05 15:17:45;2025-08-06 19:21:27;62287;0.97;1863;3.84;114.89;2.99;7.57;7156.61;141;450;19.702065642811334
Единая Ставка;22125931;Лонг Арк Новое СЕО 16.12.24;2024-12-16 23:21:14;2024-12-20 22:11:15;72019;0.97;1919;8.43;224.64;2.66;1.51;16179.03;29;146;1.7924436755479158
Ручная Ставка;15246698;166840375 / поиск/ тест  13.03.2024;2024-03-13 09:05:25;2024-03-16 23:59:59;3440;0.95;186;13.61;735.69;5.41;1.61;2530.8;3;20;1.1853959222380275
Единая Ставка;12817877;Белая Арк Кластеры Костя;2023-12-27 15:18:57;2023-12-29 00:27:30;4719;0.98;110;9.82;228.9;2.33;0.91;1080.18;1;1;0.9257716306541501
Единая Ставка;31438240;Полки черная ДР  от 08.12.2025;2025-12-08 09:50:39;2026-05-07 13:39:50;858997;0.97;25309;5.17;152.28;2.95;5.47;130812.61;1385;4683;10.587664293220662
Ручная Ставка;24804886;Аукцион Белая Стойка от 15.04.2025;2025-04-15 10:07:37;2025-10-18 23:59:59;1064927;0.93;84094;5.86;463.01;7.9;7.24;493074.25;6086;16581;12.342968629978142
Единая Ставка;21300124;Кампания от 11.11.2024;2024-11-11 14:56:02;2024-11-19 23:59:59;34460;0.97;1025;3.47;103.11;2.97;0.68;3553.42;7;61;1.9699331911229183
Ручная Ставка;19828336;Лонгслив/ 🟡 Поиск;2024-09-10 12:26:27;2024-10-11 23:59:59;137636;0.98;2589;23.68;445.5;1.88;2.67;61317.4;69;69;1.1252923313773904
Ручная Ставка;17575656;блузка белая;2024-05-29 09:05:47;2024-06-02 23:59:59;28853;0.98;688;10.53;251.05;2.38;1.89;7243.55;13;106;1.7947001125138917
Единая Ставка;11060828;Сингапур Оля от 23.10.2023;2023-10-23 13:52:03;2023-10-30 12:16:54;16778;0.98;340;18.26;370.11;2.03;0.88;6209.73;3;3;0.48311279234362847
Единая Ставка;10253947;! Автокомпания 705 новый от 27.09.2023;2023-09-27 14:40:43;2023-10-12 23:59:59;8864;0.99;114;79.06;1016.82;1.29;0.88;9013.12;1;1;0.11094937158275935
Единая Ставка;31923214;Полки Белая ДР от 18.12.2025;2025-12-18 11:29:28;2025-12-28 23:59:59;123230;0.97;3434;5.21;145.18;2.79;5.24;17891.12;180;544;10.060857006157244
Единая Ставка;15229685;смотрю сам  707-2 авто 12.03.2024;2024-03-12 17:08:43;2024-03-19 23:59:59;4791;0.97;132;7.93;218.5;2.76;0.0;1046.84;0;6;0.0
Единая Ставка;9953329;! Автореклама 315 17.09.2023;2023-09-17 18:13:33;2023-10-16 20:26:50;48626;0.98;1076;38.15;844.19;2.21;1.12;41050.05;12;12;0.29232607512049313
Единая Ставка;28679952;АРК Слон от 16.09.2025;2025-09-16 15:05:14;2025-10-03 14:04:17;12893;0.97;378;27.36;802.16;2.93;2.65;10342.27;10;45;0.9669057179903445
Единая Ставка;21300110;Сингапур черный арк от 11.11.2024;2024-11-11 14:55:42;2025-04-08 23:59:59;654383;0.96;27529;2.1;88.53;4.21;1.82;57938.69;500;2961;8.629811961575244
Единая Ставка;20986568;АРК черная блузка от 29.10.2024;2024-10-29 21:53:49;2025-04-03 19:48:26;4473194;0.96;190748;2.13;90.82;4.26;2.39;406258.49;4562;21800;11.229303786365179
Единая Ставка;20002940;Видеорегистратор зеркало / 🟢 АРК;2024-09-18 07:11:06;2025-04-22 22:49:28;1122206;0.96;49061;9.8;428.5;4.37;1.89;480867.25;925;3985;1.9236078148387108
Единая Ставка;18046591;Сингапур черный / 🟢 АРК;2024-06-18 11:39:02;2024-10-08 10:25:50;1866017;0.97;62867;3.01;101.35;3.37;1.98;189124.0;1247;4384;6.593557665870011
Ручная Ставка;17528288;Сингапур черный /🟡 Поиск;2024-05-27 14:22:00;2024-10-13 10:26:59;626957;0.96;23846;7.8;296.83;3.8;2.2;186102.32;524;1996;2.8156553878533055
